##Temp./°C;Time/min;Mass/%;Segment;Alpha;F_alpha;G_alpha
118.782;0.0;100.0;1;0.0;2.0;0.0
129.61099;0.25;99.99258;1;0.005757248935061195;1.9942344406462733;0.002882779676863345
141.129;0.5;99.98593;1;0.010917047508945324;1.9890529932518688;0.0054735033740656025
153.289;0.75;99.98035;1;0.015246622853639128;1.9846948149741923;0.007652592512903844
166.007;1.0;99.97545;1;0.01904857969755433;1.9808598338120198;0.0095700830939901
179.242;1.25;99.97093;1;0.02255569090867111;1.9773156643200183;0.011342167839990869
192.946;1.5;99.96651;1;0.025985211163787148;1.973843751502345;0.013078124248827483
207.041;1.75;99.96176;1;0.029670781573701233;1.9701058026677642;0.014947098666117875
221.457;2.0;99.95663;1;0.033651197616402714;1.9660608356646518;0.01696958216767408
236.08299;2.25;99.95093;1;0.038073882108301815;1.9615566450058977;0.01922167749705117
250.89101;2.5;99.94494;1;0.04272158037258986;1.956812121413203;0.02159393929339848
265.806;2.75;99.9386;1;0.04764084698288049;1.9517778080684487;0.024111095965775653
280.711;3.0;99.93169;1;0.05300238204234671;1.9462760523190468;0.026861973840476616
295.526;3.25;99.9248;1;0.058348398910619395;1.9407746918067337;0.029612654096633162
310.22198;3.5;99.91794;1;0.06367113849209627;1.935281748488218;0.03235912575589095
324.71701;3.75;99.91129;1;0.0688309370659804;1.9299420332580144;0.035028983370992806
338.905;4.0;99.90537;1;0.0734243216610635;1.9251760213953804;0.03741198930230982
352.73001;4.25;99.90006;1;0.07754440142457293;1.9208910417568479;0.03955447912157606
366.133;4.5;99.89501;1;0.08146274470247823;1.9168069858987073;0.041596507050646325
379.08401;4.75;99.89017;1;0.08521814697279077;1.9128845788778885;0.04355771056105573
391.534;5.0;99.88467;1;0.0894856495526884;1.908417512440411;0.04579124377979449
403.48001;5.25;99.87901;1;0.09387729766218941;1.9038095517543876;0.0480952241228062
414.897;5.5;99.87305;1;0.09850171863967061;1.8989452665733464;0.050527366713326805
425.811;5.75;99.86641;1;0.10365375811795245;1.8935112800108138;0.05324435999459309
436.20999;6.0;99.85895;1;0.10944204343542277;1.8873875665210653;0.05630621673946734
