##Temp./°C,Time/min,Mass/%,Segment,Alpha,F_alpha,G_alpha
262.311,4.0,99.90295,1.0,0.03,39.49211967540003,0.0003152285410128
342.138,6.5,99.86244,1.0,0.04,27.7133350491259,0.0006355662798393
412.16,9.5,99.82265,1.0,0.05,21.38186537467866,0.0010601427962456
459.82001,12.0,99.75948,1.0,0.06,15.63237119148479,0.0019608692339341
469.14099,12.5,99.73772,1.0,0.07,14.293011053616809,0.0023362808584347
487.90302,13.5,99.67884,1.0,0.08,11.5784930185106,0.0035216844780785
497.38,14.0,99.6404,1.0,0.09,10.28567024602865,0.0044306810991933
506.93701,14.5,99.596,1.0,0.1,9.0983674436879,0.00561522734649
516.54401,15.0,99.54797,1.0,0.12,8.07637119447524,0.0070611338081825
526.23102,15.5,99.48966,1.0,0.13,7.09385289810307,0.0090496691502694
535.97803,16.0,99.43583,1.0,0.15,6.366828789570684,0.0111160019863875
545.79999,16.5,99.38404,1.0,0.16,5.787055352761255,0.0133164088328983
555.67603,17.0,99.33507,1.0,0.17,5.321716438769365,0.0155916010525139
565.60199,17.5,99.29614,1.0,0.18,4.997842980645428,0.0175372329885545
575.57599,18.0,99.25921,1.0,0.19,4.721960708351393,0.0194964607875643
585.57397,18.5,99.22747,1.0,0.2,4.505843341570821,0.0212696975917391
595.55798,19.0,99.19996,1.0,0.21,4.332339299335754,0.0228741229199314
615.367,20.0,99.15364,1.0,0.22,4.06556230675159,0.0257188365135602
634.90802,21.0,99.11255,1.0,0.23,3.852090913511746,0.0283947125699105
654.31097,22.0,99.07259,1.0,0.24,3.662522316022656,0.0311363365882092
673.99298,23.0,99.02971,1.0,0.25,3.4763500658515176,0.0342332576630336
683.909,23.5,99.00677,1.0,0.26,3.3833014736835274,0.0359567153555674
703.74799,24.5,98.95776,1.0,0.27,3.1981180078202214,0.0397965397358171
713.63098,25.0,98.93169,1.0,0.28,3.1064730302196244,0.0419276371418189
733.39301,26.0,98.87778,1.0,0.29,2.930332622079536,0.0465326227650726
743.22302,26.5,98.84991,1.0,0.3,2.845677003821549,0.0490193532012795
762.909,27.5,98.79367,1.0,0.31,2.686614111563399,0.0542613079535609
772.74799,28.0,98.76568,1.0,0.32,2.612780935707277,0.0569833035841017
782.58698,28.5,98.73777,1.0,0.33,2.542371977205641,0.0597734432631418
802.32098,29.5,98.68186,1.0,0.34,2.410157011286771,0.0655940401176517
812.21503,30.0,98.65465,1.0,0.35,2.3497196064059023,0.0685400227315953
832.05603,31.0,98.60147,1.0,0.36,2.2382633111793626,0.0745156399512748
842.026,31.5,98.57622,1.0,0.37,2.188200369450056,0.0774552436419218
862.05402,32.5,98.52524,1.0,0.38,2.0922339825679,0.0835947498524817
872.06403,33.0,98.4997,1.0,0.39,2.0465514561868527,0.0867747671957836
892.00897,34.0,98.4475,1.0,0.4,1.9577402565596247,0.0934946239092985
901.96899,34.5,98.41971,1.0,0.41,1.9127875209824543,0.0971946430439728
922.00403,35.5,98.36026,1.0,0.42,1.8215874839590416,0.105401632577161
932.03601,36.0,98.32732,1.0,0.43,1.7737574289697882,0.1101231627172483
942.09998,36.5,98.29276,1.0,0.44,1.7254902452952965,0.1152129901964553
952.14398,37.0,98.25559,1.0,0.45,1.675633528513527,0.1208452447968605
962.14899,37.5,98.21572,1.0,0.46,1.6243729485625735,0.1270718623232152
972.14203,38.0,98.17409,1.0,0.47,1.573137119200362,0.1337818214727679
982.12097,38.5,98.12908,1.0,0.48,1.520189275637379,0.1412811125894056
992.125,39.0,98.08109,1.0,0.49,1.4663363738453663,0.1495630381163439
1002.15503,39.5,98.02881,1.0,0.51,1.4104927495593518,0.1589296897633854
1012.20599,40.0,97.97445,1.0,0.52,1.3553039792236048,0.169060112387674
1022.258,40.5,97.91381,1.0,0.54,1.2969126863387483,0.1808455286547022
1032.31604,41.0,97.84811,1.0,0.55,1.2370956086951552,0.1942106473084647
1042.35498,41.5,97.7796,1.0,0.57,1.1781861567649412,0.2088327678061059
1052.39502,42.0,97.7097,1.0,0.59,1.121383635180046,0.2245022950718397
1062.43298,42.5,97.63898,1.0,0.61,1.0669857878061009,0.2411611582696612
1072.46997,43.0,97.56879,1.0,0.63,1.015760484563945,0.2585333510221431
1082.52405,43.5,97.49991,1.0,0.64,0.9679184054783926,0.2764322625997428
1092.56799,44.0,97.42902,1.0,0.66,0.9209561750741638,0.2957783300770022
1102.61804,44.5,97.35536,1.0,0.68,0.8743713554495439,0.3169282625736521
1112.66895,45.0,97.27779,1.0,0.7,0.8275061541594084,0.3404247503832671
1122.68201,45.5,97.19462,1.0,0.72,0.7794839837089632,0.3671067000205097
1132.72095,46.0,97.10517,1.0,0.75,0.7300939839413522,0.3976574238782219
1142.74304,46.5,97.01139,1.0,0.77,0.6804733324127105,0.4319371184713006
1152.77405,47.0,96.91485,1.0,0.79,0.6313139058359247,0.4698844211027945
1162.81299,47.5,96.82168,1.0,0.82,0.5853313881374724,0.5093691876439534
1172.88599,48.0,96.73741,1.0,0.84,0.5446330662512636,0.5478174062391089
1182.99902,48.5,96.67211,1.0,0.86,0.5134499720797058,0.5796278721457626
1193.104,49.0,96.62882,1.0,0.87,0.4928436397669403,0.6017976548159081
1203.18103,49.5,96.6032,1.0,0.88,0.4806409480454693,0.6153591841839277
1282.828,53.5,96.53921,1.0,0.89,0.4500125266816402,0.6507992505288301
1292.73096,54.0,96.50611,1.0,0.9,0.4340058090484768,0.6700939862419778
1302.61694,54.5,96.44478,1.0,0.92,0.4038136977443844,0.7078229260683054
1312.51294,55.0,96.36055,1.0,0.94,0.3603519073751859,0.7646419879504351
1322.40698,55.5,96.24984,1.0,0.97,0.2952788702098541,0.8516332438951331
1331.49304,56.0,96.11856,2.0,1.0,0.0,
