##Temp./°C,Time/min,Mass/%,Segment,Alpha,F_alpha,G_alpha
243.692,3.5,99.91831,1.0,0.03,1.0,0.0252195792105937
311.46301,5.5,99.88608,1.0,0.04,1.0,0.0351697204513509
410.56799,9.5,99.83578,1.0,0.05,1.0,0.0506984857138448
430.63699,10.5,99.81823,1.0,0.06,1.0,0.0561165737925074
459.74799,12.0,99.77653,1.0,0.07,1.0,0.0689903215349725
469.34,12.5,99.75563,1.0,0.08,1.0,0.0754426315545757
488.48099,13.5,99.69895,1.0,0.09,1.0,0.0929410493493676
498.08301,14.0,99.66202,1.0,0.1,1.0,0.1043421885371169
507.68201,14.5,99.61956,1.0,0.12,1.0,0.1174505657348358
517.29401,15.0,99.5662,1.0,0.13,1.0,0.1339240232777135
526.94897,15.5,99.51794,1.0,0.15,1.0,0.1488229936866168
536.62799,16.0,99.46506,1.0,0.17,1.0,0.1651482642051176
546.34198,16.5,99.41254,1.0,0.18,1.0,0.1813623944553336
556.10901,17.0,99.36388,1.0,0.2,1.0,0.196384854051219
565.93103,17.5,99.32101,1.0,0.21,1.0,0.2096198076655912
575.80701,18.0,99.28339,1.0,0.22,1.0,0.2212339657008795
585.74298,18.5,99.2517,1.0,0.23,1.0,0.231017396539216
595.68701,19.0,99.22519,1.0,0.24,1.0,0.2392016424061878
605.62,19.5,99.20206,1.0,0.25,1.0,0.2463424046431928
625.38599,20.5,99.16204,1.0,0.26,1.0,0.2586974978003478
644.96399,21.5,99.12481,1.0,0.27,1.0,0.2701912538783337
654.73901,22.0,99.10653,1.0,0.28,1.0,0.2758347097232282
674.44702,23.0,99.06825,1.0,0.29,1.0,0.2876526249170292
694.23901,24.0,99.02724,1.0,0.3,1.0,0.3003133538119554
704.10901,24.5,99.00572,1.0,0.31,1.0,0.3069570720713782
723.78998,25.5,98.96118,1.0,0.32,1.0,0.3207075930413852
733.59698,26.0,98.93775,1.0,0.33,1.0,0.3279409721686268
743.40002,26.5,98.91369,1.0,0.34,1.0,0.3353688467653548
763.02399,27.5,98.86477,1.0,0.35,1.0,0.3504715743327752
772.85797,28.0,98.83989,1.0,0.36,1.0,0.3581526017628096
782.69098,28.5,98.81539,1.0,0.37,1.0,0.3657163144652172
802.42297,29.5,98.76625,1.0,0.38,1.0,0.3808869610854707
812.31201,30.0,98.74268,1.0,0.39,1.0,0.3881635614281552
822.224,30.5,98.71953,1.0,0.4,1.0,0.3953104981245067
842.14203,31.5,98.67647,1.0,0.41,1.0,0.4086041091026989
862.13501,32.5,98.63561,1.0,0.42,1.0,0.4212185295525067
872.11298,33.0,98.61573,1.0,0.43,1.0,0.4273559421453168
892.00403,34.0,98.57581,1.0,0.44,1.0,0.4396801630057262
901.98199,34.5,98.55494,1.0,0.45,1.0,0.4461232113363074
921.98102,35.5,98.51062,1.0,0.46,1.0,0.4598058132534768
932.00702,36.0,98.48647,1.0,0.47,1.0,0.4672614729172793
942.03699,36.5,98.46112,1.0,0.48,1.0,0.4750876001420151
962.04901,37.5,98.40485,1.0,0.49,1.0,0.4924594415201538
972.02502,38.0,98.37466,1.0,0.5,1.0,0.5017797879073204
981.992,38.5,98.34257,1.0,0.51,1.0,0.511686707932639
992.00098,39.0,98.3091,1.0,0.52,1.0,0.5220196656530268
1002.03497,39.5,98.27407,1.0,0.53,1.0,0.5328342312026327
1012.10999,40.0,98.23797,1.0,0.54,1.0,0.5439791303274002
1022.19397,40.5,98.201,1.0,0.56,1.0,0.5553926184338512
1032.28601,41.0,98.16276,1.0,0.57,1.0,0.5671981847089504
1042.38098,41.5,98.12416,1.0,0.58,1.0,0.5791148912523345
1052.44604,42.0,98.08548,1.0,0.59,1.0,0.5910562956331132
1062.51196,42.5,98.04589,1.0,0.6,1.0,0.6032786379142685
1072.57996,43.0,98.0067,1.0,0.62,1.0,0.6153774910084461
1082.62195,43.5,97.967,1.0,0.63,1.0,0.6276337928160178
1092.65198,44.0,97.92609,1.0,0.64,1.0,0.6402636494141984
1102.66003,44.5,97.88191,1.0,0.65,1.0,0.653903030115925
1112.67102,45.0,97.83694,1.0,0.67,1.0,0.6677863019619359
1122.68201,45.5,97.78635,1.0,0.68,1.0,0.6834045968849867
1132.69702,46.0,97.73387,1.0,0.7,1.0,0.6996063782165097
1142.73499,46.5,97.67465,1.0,0.72,1.0,0.7178889523486112
1152.77197,47.0,97.61561,1.0,0.74,1.0,0.7361159563465723
1162.82605,47.5,97.55981,1.0,0.75,1.0,0.753342697930014
1172.90295,48.0,97.51127,1.0,0.77,1.0,0.7683281107698031
1243.07495,51.5,97.48857,1.0,0.78,1.0,0.7753361221308084
1302.80603,54.5,97.44228,1.0,0.79,1.0,0.7896269082938447
1312.70996,55.0,97.3788,1.0,0.81,1.0,0.8092246422672632
1322.61902,55.5,97.29259,1.0,0.84,1.0,0.835839649290709
1331.698,56.0,97.17579,2.0,0.87,1.0,0.8718984918883034
1331.20996,56.5,97.00953,2.0,0.92,1.0,0.9232267724557388
1321.19299,57.0,96.89597,2.0,0.96,1.0,0.9582853526388092
1303.71704,57.5,96.83067,2.0,0.98,1.0,0.9784449624129808
1280.32397,58.0,96.79487,2.0,0.99,1.0,0.989497244647516
1253.26697,58.5,96.77629,2.0,1.0,1.0,0.9952333173826472
