##Temp./°C,Time/min,Mass/%,Segment,Alpha,F_alpha,G_alpha
172.905,3.0,99.96378,1.0,0.02,0.9759383511592372,0.0243558593598876
197.255,4.5,99.95537,1.0,0.03,0.9703514249651248,0.0300969793187735
239.407,7.5,99.94036,1.0,0.04,0.9603799906995274,0.0404262491924272
257.23801,9.0,99.93175,1.0,0.05,0.9546602006244564,0.0463998126815554
298.26801,13.0,99.9095,1.0,0.06,0.9398790938683282,0.0620040355351365
331.229,16.5,99.8953,1.0,0.07,0.9304457583206048,0.0720914976450364
354.85101,19.0,99.8863,1.0,0.08,0.9244668836776764,0.0785380495886669
398.88101,23.5,99.86469,1.0,0.09,0.9101109413405942,0.094188773341003
419.03299,25.5,99.85077,1.0,0.1,0.9008636152261992,0.1044014032796313
429.073,26.5,99.84171,1.0,0.11,0.8948448814189908,0.1111048925786722
444.005,28.0,99.82345,1.0,0.12,0.8827144090878859,0.1247535632103046
453.87299,29.0,99.80679,1.0,0.13,0.8716468478044292,0.1373709281541477
463.69299,30.0,99.78552,1.0,0.14,0.8575167740649745,0.1537145385415605
468.582,30.5,99.77295,1.0,0.15,0.8491662791470107,0.1635002589063534
473.46799,31.0,99.75868,1.0,0.16,0.839686441240948,0.1747267410696479
478.34299,31.5,99.7429,1.0,0.17,0.8292034810336855,0.1872897003665102
483.23001,32.0,99.72542,1.0,0.18,0.8175911778383051,0.2013928499060974
488.13101,32.5,99.70632,1.0,0.2,0.8049026772072053,0.2170339067515594
493.01501,33.0,99.68576,1.0,0.21,0.7912442702451359,0.2341485469463229
497.94199,33.5,99.66365,1.0,0.22,0.7765561682056767,0.2528863039087742
502.84799,34.0,99.64031,1.0,0.24,0.7610509532983464,0.273054967647895
507.77499,34.5,99.61593,1.0,0.26,0.7448548462100626,0.2945659168877598
512.729,35.0,99.59062,1.0,0.27,0.7280409220753357,0.3173980207233216
517.69,35.5,99.56476,1.0,0.29,0.710861622267992,0.3412774922162744
522.672,36.0,99.53841,1.0,0.31,0.6933568059523023,0.3662105407890442
527.67297,36.5,99.51187,1.0,0.32,0.6757257689497134,0.391967952478537
532.66901,37.0,99.48636,1.0,0.34,0.6587789809340374,0.4173671862665042
537.68402,37.5,99.4619,1.0,0.36,0.6425297282933647,0.4423421935658733
542.73199,38.0,99.4393,1.0,0.37,0.6275161097455689,0.4659859354044363
547.771,38.5,99.41851,1.0,0.39,0.6137049093204011,0.4882410700746773
552.85101,39.0,99.40014,1.0,0.4,0.6015013618547768,0.5083264794722496
557.92798,39.5,99.38359,1.0,0.41,0.5905068757058396,0.5267739995414855
563.0,40.0,99.36924,1.0,0.42,0.5809738922473973,0.5430494590307557
568.073,40.5,99.35673,1.0,0.43,0.572663256493723,0.5574574200241439
578.224,41.5,99.3374,1.0,0.44,0.5598219623995249,0.580136470088145
583.271,42.0,99.32961,1.0,0.45,0.554646914236368,0.589423558255894
603.32599,44.0,99.308,1.0,0.46,0.5402909718992954,0.6156474476937172
628.16998,46.5,99.29115,1.0,0.47,0.5290971899289207,0.6365831401258055
658.02399,49.5,99.27629,1.0,0.48,0.5192254035740421,0.6554171864878933
673.11298,51.0,99.2695,1.0,0.49,0.5147146748156488,0.6641425613336224
723.08698,56.0,99.24632,1.0,0.5,0.499315751013087,0.6945166157823028
737.97699,57.5,99.23948,1.0,0.51,0.4947718062844636,0.7036586201105427
792.77802,63.0,99.21746,1.0,0.52,0.4801434929914339,0.7336702760228208
842.854,68.0,99.2028,1.0,0.53,0.4704045705175043,0.7541621662087311
887.88202,72.5,99.18813,1.0,0.54,0.4606590048495342,0.7750971954807695
917.99597,75.5,99.17251,1.0,0.55,0.4502823357470309,0.7978804801876969
938.099,77.5,99.15885,1.0,0.56,0.4412077326778743,0.8182394652879397
958.138,79.5,99.14303,1.0,0.57,0.4306981996944125,0.8423476668834144
978.03699,81.5,99.12667,1.0,0.58,0.4198299342323839,0.8679055682006773
988.06,82.5,99.11865,1.0,0.59,0.4145020926061287,0.880677255912586
1013.20898,85.0,99.10353,1.0,0.6,0.4044575832060118,0.905208410266297
1143.54602,98.0,99.0891,1.0,0.61,0.3948714541951805,0.9291949994629
1228.68103,106.5,99.07394,1.0,0.62,0.3848003720188644,0.9550305934060624
1268.76294,110.5,99.05344,1.0,0.63,0.3711818242210843,0.99106324419056
1278.75305,111.5,99.0421,1.0,0.64,0.3636484421710013,1.0115676962598643
1288.73096,112.5,99.02096,1.0,0.65,0.3496047299541658,1.050952105675102
1293.71106,113.0,99.00402,1.0,0.66,0.3383511592373617,1.0836709901612225
1298.71106,113.5,98.98088,1.0,0.68,0.3229788082109897,1.1301685671657635
1303.69995,114.0,98.95,1.0,0.7,0.3024646249917003,1.1957909505257076
1308.69897,114.5,98.90876,1.0,0.72,0.2750680927389921,1.290736602005881
1313.672,115.0,98.84977,1.0,0.76,0.2358798910516247,1.4444325397304525
1318.66296,115.5,98.78423,1.0,0.81,0.1923403972630027,1.6484885742793105
1323.63,116.0,98.7061,1.0,0.86,0.1404371221683459,1.9629954194302683
1328.60498,116.5,98.6189,1.0,0.92,0.0825084700724118,2.494854323367068
1329.95353,117.0,98.4947,2.0,1.0,0.0,inf
