##Temp./°C,Time/min,Mass/%,Segment,Alpha,F_alpha,G_alpha
205.658,2.5,99.95484,1.0,0.03,0.3105890580317075,0.1592850271411803
261.26401,4.0,99.93613,1.0,0.04,0.3664084182334355,0.1899339403222365
295.69299,5.0,99.91819,1.0,0.05,0.4114662816219873,0.2155140730807218
341.55099,6.5,99.89439,1.0,0.06,0.4626299028822524,0.2457104564627508
367.95499,7.5,99.88283,1.0,0.07,0.4847916102432368,0.2592469042328893
402.16901,9.0,99.86424,1.0,0.08,0.517494348924521,0.2798213661441741
432.16299,10.5,99.84124,1.0,0.09,0.5537873880288082,0.3036355760971531
451.065,11.5,99.81916,1.0,0.1,0.5850471407730642,0.3251422293016073
460.38599,12.0,99.80421,1.0,0.11,0.604510503274403,0.3390848627436406
469.70599,12.5,99.78577,1.0,0.12,0.6268504084533175,0.3556978855129236
479.04099,13.0,99.76339,1.0,0.13,0.651754485158107,0.3751146719319458
488.41199,13.5,99.73605,1.0,0.15,0.6792722270054611,0.3978991164787248
497.82999,14.0,99.70391,1.0,0.16,0.7080347844132511,0.4235956318970794
507.293,14.5,99.6665,1.0,0.19,0.7372467892314792,0.4523039237145473
516.82202,15.0,99.62429,1.0,0.21,0.7653855287283756,0.483457708298078
526.41199,15.5,99.57821,1.0,0.23,0.790972203372591,0.5162926389831648
536.05499,16.0,99.52447,1.0,0.26,0.8148292606589794,0.5534027238585802
545.73602,16.5,99.47475,1.0,0.29,0.831760759018895,0.5868902509140138
555.49103,17.0,99.42743,1.0,0.32,0.8436969974751867,0.6182143038513969
565.33698,17.5,99.38841,1.0,0.34,0.850688429317532,0.6437589081510321
575.24402,18.0,99.35147,1.0,0.36,0.8550637881763913,0.6677814948723814
585.22998,18.5,99.32136,1.0,0.38,0.8570840803399612,0.6872907346555597
595.23602,19.0,99.29686,1.0,0.39,0.8577368549087646,0.7031410734386087
605.24902,19.5,99.27716,1.0,0.4,0.8576323222908894,0.715882364061229
615.22998,20.0,99.2608,1.0,0.41,0.8571268348721545,0.7264674038277281
625.159,20.5,99.24659,1.0,0.42,0.8563838393638327,0.735668162731434
635.02502,21.0,99.23365,1.0,0.43,0.8554642670816814,0.7440547943972136
654.58698,22.0,99.21048,1.0,0.44,0.8532462482677224,0.7590985102951724
674.27301,23.0,99.18783,1.0,0.45,0.8503787006670936,0.7738485671062865
684.21698,23.5,99.17604,1.0,0.46,0.8486158028639359,0.7815477098046073
704.078,24.5,99.15196,1.0,0.47,0.8444468607608507,0.7973267312382079
713.97101,25.0,99.13971,1.0,0.48,0.8420356749816308,0.8053856057807572
733.716,26.0,99.11505,1.0,0.49,0.8365937993545347,0.8216836021263226
743.58502,26.5,99.10242,1.0,0.5,0.8335045829685644,0.8300739734069428
763.24103,27.5,99.07666,1.0,0.51,0.826574707218074,0.84728913358716
773.073,28.0,99.06348,1.0,0.52,0.8227044430907434,0.8561553973373475
782.90302,28.5,99.05004,1.0,0.53,0.8185327051437775,0.8652408606223134
802.625,29.5,99.02246,1.0,0.54,0.809263222323096,0.8840377041898524
812.51202,30.0,99.00837,1.0,0.55,0.8041612089053206,0.893726748369146
822.427,30.5,98.99428,1.0,0.56,0.79881211486886,0.9034789659700512
832.37299,31.0,98.98018,1.0,0.57,0.7932122828406606,0.9133052243714112
852.26898,32.0,98.95349,1.0,0.58,0.781936841210287,0.9321036697090792
862.23901,32.5,98.94124,1.0,0.59,0.7764659041072386,0.9408248997800366
882.20001,33.5,98.91885,1.0,0.6,0.7659852272520747,0.9569294420320248
892.19202,34.0,98.90821,1.0,0.61,0.7607864512977818,0.9646614227046924
912.14398,35.0,98.88751,1.0,0.62,0.7502686717712922,0.9798598869918532
932.16602,36.0,98.86604,1.0,0.63,0.7387947907771277,0.995856485308278
942.20697,36.5,98.85487,1.0,0.64,0.7325971063964105,1.0042791187269735
962.25403,37.5,98.83163,1.0,0.65,0.7191993121754655,1.0220388749689435
982.15698,38.5,98.80813,1.0,0.66,0.7049565294585202,1.040345883327774
992.10303,39.0,98.797,1.0,0.67,0.6979652953498366,1.0491479637185614
1012.11603,40.0,98.77657,1.0,0.68,0.6847182981876411,1.065540981643019
1042.30505,41.5,98.75306,1.0,0.69,0.6688049946076046,1.0848116429981831
1052.34204,42.0,98.74703,1.0,0.7,0.6646070345989891,1.0898290577819043
1092.53503,44.0,98.72829,1.0,0.71,0.6512544045302969,1.1056297816447107
1252.85999,52.0,98.71105,1.0,0.72,0.6385576345859124,1.1204594261582652
1282.81702,53.5,98.69093,1.0,0.73,0.6232328564002765,1.1381506861406498
1292.77197,54.0,98.67142,1.0,0.74,0.6078435432966581,1.1557336556568063
1302.68201,54.5,98.63715,1.0,0.76,0.5795231440439413,1.1877549284667022
1312.55396,55.0,98.57267,1.0,0.79,0.5216019232233146,1.2527244228596923
1322.38306,55.5,98.48512,1.0,0.84,0.4324417883420331,1.3546100373322962
1331.46204,56.0,98.37428,2.0,0.9,0.2990283525440739,1.5236347407413444
1330.95898,56.5,98.20339,2.0,1.0,0.0159006948409901,2.3885626272763427
