##Temp./°C,Time/min,Mass/%,Segment,Alpha,F_alpha,G_alpha
204.48801,5.0,99.94952,1.0,0.03,39.072154063342055,0.0003219831006672
250.996,8.5,99.92911,1.0,0.04,27.67740955601305,0.0006371974540658
302.698,13.5,99.89997,1.0,0.05,19.466828069232665,0.0012750832742861
326.427,16.0,99.88974,1.0,0.06,17.613444241957254,0.0015519667708583
374.07401,21.0,99.86917,1.0,0.07,14.763866071392384,0.0021928787961734
418.03699,25.5,99.83971,1.0,0.08,11.956129021230376,0.0033087009753846
428.065,26.5,99.82993,1.0,0.09,11.23898485263716,0.0037312171139006
443.27301,28.0,99.80964,1.0,0.1,9.98603547891672,0.0046915014130676
458.49701,29.5,99.78009,1.0,0.11,8.574499732737541,0.0062943514482306
463.535,30.0,99.76733,1.0,0.12,8.07570674471715,0.0070622483368712
473.577,31.0,99.73746,1.0,0.13,7.097426856311132,0.0090409801662398
478.56299,31.5,99.71971,1.0,0.14,6.614703327966123,0.010338468161358
483.53101,32.0,99.70044,1.0,0.15,6.15528170430618,0.0118510607722533
488.47198,32.5,99.6793,1.0,0.16,5.714642350611695,0.0136363962432782
493.423,33.0,99.65651,1.0,0.17,5.300205609231722,0.0157105519445453
498.34201,33.5,99.63213,1.0,0.18,4.913529881779964,0.0181034756986664
503.26599,34.0,99.60639,1.0,0.2,4.557081879676054,0.0208280605250577
508.20901,34.5,99.57944,1.0,0.21,4.230438700808814,0.0239023507050148
513.14899,35.0,99.55187,1.0,0.22,3.936735122192317,0.0272859475968403
518.10101,35.5,99.52357,1.0,0.24,3.6704057986520375,0.031014570556734
523.08002,36.0,99.49484,1.0,0.25,3.43034982401945,0.0350694561190232
528.05902,36.5,99.46687,1.0,0.27,3.2213068823525983,0.0392829882241698
533.07202,37.0,99.4398,1.0,0.28,3.0386909743071646,0.0436155221314122
538.09302,37.5,99.41417,1.0,0.29,2.881185320281466,0.047952691899234
543.14697,38.0,99.39029,1.0,0.31,2.7462141467013583,0.0522032349553779
548.18298,38.5,99.36834,1.0,0.32,2.631037778576744,0.056291568032984
553.26501,39.0,99.34882,1.0,0.33,2.535043095087873,0.0600755302034881
563.40503,40.0,99.31568,1.0,0.34,2.384415781051621,0.066825235864538
568.46698,40.5,99.30153,1.0,0.35,2.324381115114857,0.0698341142667937
573.50702,41.0,99.28892,1.0,0.36,2.2728557533712967,0.0725805054967799
583.58398,42.0,99.26759,1.0,0.37,2.1896582268223304,0.0773672168408567
593.586,43.0,99.24948,1.0,0.38,2.1226532571191203,0.0815724930914048
613.49701,45.0,99.2186,1.0,0.39,2.0153982907615804,0.0890477094685895
623.41302,46.0,99.20385,1.0,0.4,1.9670293928374416,0.0927561815818947
633.33099,47.0,99.19006,1.0,0.41,1.923358306538582,0.0963052492861448
648.20898,48.5,99.16913,1.0,0.42,1.8597652067865609,0.101845346199661
663.12799,50.0,99.14779,1.0,0.43,1.798042753249001,0.1076874894138023
683.27197,52.0,99.11809,1.0,0.44,1.716944855341126,0.1161503575787599
688.28497,52.5,99.11057,1.0,0.45,1.6972388589086305,0.1183555177981122
703.271,54.0,99.0879,1.0,0.46,1.6397219801706695,0.1251585295454754
723.13599,56.0,99.05867,1.0,0.47,1.5694803730683808,0.1342806148203765
733.04199,57.0,99.04408,1.0,0.48,1.5359540650113457,0.1389846464442762
742.95801,58.0,99.02994,1.0,0.49,1.5043772509572595,0.1436411787944986
757.87701,59.5,99.01026,1.0,0.5,1.461853409122878,0.1502845256370722
782.776,62.0,98.97987,1.0,0.51,1.3992341389604197,0.1609224449173967
792.742,63.0,98.9685,1.0,0.52,1.376698222992356,0.1650232666109526
817.70398,65.5,98.94328,1.0,0.53,1.3283312081783785,0.1743595769250976
832.76202,67.0,98.92959,1.0,0.54,1.3029661171002946,0.1795686591023886
857.82397,69.5,98.90946,1.0,0.55,1.266741669780723,0.1874123686342857
897.79401,73.5,98.88117,1.0,0.56,1.2178659464114143,0.198814752683662
912.89301,75.0,98.87082,1.0,0.57,1.2005455142484778,0.2030994864824936
953.03699,79.0,98.84212,1.0,0.58,1.153991761252453,0.2153061113563748
967.99597,80.5,98.83089,1.0,0.59,1.136338748110341,0.2202151611888104
1013.22101,85.0,98.8011,1.0,0.6,1.0909483452688762,0.2336094064970694
1048.33704,88.5,98.79132,1.0,0.61,1.0764813512229148,0.2381269753963517
1268.79602,110.5,98.7621,1.0,0.62,1.0344594995084035,0.2519887699683835
1283.78699,112.0,98.74905,1.0,0.63,1.0162467828868669,0.2583600650770049
1293.77295,113.0,98.73022,1.0,0.64,0.9905384619941388,0.267755017187981
1303.75,114.0,98.69239,1.0,0.65,0.9408043203623452,0.2873733968536849
1308.73901,114.5,98.66212,1.0,0.67,0.902710732274733,0.3038164200834872
1313.71997,115.0,98.62113,1.0,0.69,0.853307814612617,0.327197234499848
1318.70496,115.5,98.56584,1.0,0.72,0.7902010375397123,0.3609067664336355
1323.68396,116.0,98.49601,1.0,0.75,0.7154159444133436,0.4074034699105581
1328.66296,116.5,98.4136,1.0,0.79,0.6327473524799107,0.46871754212354
1329.9353,117.0,98.28198,2.0,0.86,0.5086276068302702,0.5847337678651794
1321.64564,117.5,98.15861,2.0,0.92,0.3924875349964299,0.7223820451950428
1305.62652,118.0,98.09026,2.0,0.96,0.3202294424726988,0.8184524874368367
1283.49913,118.5,98.05003,2.0,0.98,0.2678102390535988,0.8868701923211053
1257.56786,119.0,98.02889,2.0,0.99,0.2315433556685794,0.9291782627939376
1180.38935,120.5,98.01142,2.0,1.0,0.1855910415545869,0.970804478715904
