##Temp./°C,Time/min,Mass/%,Segment,Alpha,F_alpha,G_alpha
172.905,3.0,99.96378,1.0,0.02,1.0,0.0240616488407626
197.255,4.5,99.95537,1.0,0.03,1.0,0.0296485750348753
239.407,7.5,99.94036,1.0,0.04,1.0,0.0396200093004726
257.23801,9.0,99.93175,1.0,0.05,1.0,0.0453397993755436
298.26801,13.0,99.9095,1.0,0.06,1.0,0.0601209061316717
331.229,16.5,99.8953,1.0,0.07,1.0,0.0695542416793952
354.85101,19.0,99.8863,1.0,0.08,1.0,0.0755331163223237
398.88101,23.5,99.86469,1.0,0.09,1.0,0.0898890586594058
419.03299,25.5,99.85077,1.0,0.1,1.0,0.0991363847738007
429.073,26.5,99.84171,1.0,0.11,1.0,0.1051551185810092
444.005,28.0,99.82345,1.0,0.12,1.0,0.117285590912114
453.87299,29.0,99.80679,1.0,0.13,1.0,0.1283531521955708
463.69299,30.0,99.78552,1.0,0.14,1.0,0.1424832259350255
468.582,30.5,99.77295,1.0,0.15,1.0,0.1508337208529892
473.46799,31.0,99.75868,1.0,0.16,1.0,0.1603135587590519
478.34299,31.5,99.7429,1.0,0.17,1.0,0.1707965189663144
483.23001,32.0,99.72542,1.0,0.18,1.0,0.1824088221616948
488.13101,32.5,99.70632,1.0,0.2,1.0,0.1950973227927946
493.01501,33.0,99.68576,1.0,0.21,1.0,0.2087557297548641
497.94199,33.5,99.66365,1.0,0.22,1.0,0.2234438317943232
502.84799,34.0,99.64031,1.0,0.24,1.0,0.2389490467016536
507.77499,34.5,99.61593,1.0,0.26,1.0,0.2551451537899374
512.729,35.0,99.59062,1.0,0.27,1.0,0.2719590779246644
517.69,35.5,99.56476,1.0,0.29,1.0,0.289138377732008
522.672,36.0,99.53841,1.0,0.31,1.0,0.3066431940476977
527.67297,36.5,99.51187,1.0,0.32,1.0,0.3242742310502866
532.66901,37.0,99.48636,1.0,0.34,1.0,0.3412210190659625
537.68402,37.5,99.4619,1.0,0.36,1.0,0.3574702717066352
542.73199,38.0,99.4393,1.0,0.37,1.0,0.372483890254431
547.771,38.5,99.41851,1.0,0.39,1.0,0.3862950906795989
552.85101,39.0,99.40014,1.0,0.4,1.0,0.3984986381452232
557.92798,39.5,99.38359,1.0,0.41,1.0,0.4094931242941604
563.0,40.0,99.36924,1.0,0.42,1.0,0.4190261077526027
568.073,40.5,99.35673,1.0,0.43,1.0,0.427336743506277
578.224,41.5,99.3374,1.0,0.44,1.0,0.4401780376004751
583.271,42.0,99.32961,1.0,0.45,1.0,0.445353085763632
603.32599,44.0,99.308,1.0,0.46,1.0,0.4597090281007046
628.16998,46.5,99.29115,1.0,0.47,1.0,0.4709028100710793
658.02399,49.5,99.27629,1.0,0.48,1.0,0.4807745964259579
673.11298,51.0,99.2695,1.0,0.49,1.0,0.4852853251843511
723.08698,56.0,99.24632,1.0,0.5,1.0,0.500684248986913
737.97699,57.5,99.23948,1.0,0.51,1.0,0.5052281937155364
792.77802,63.0,99.21746,1.0,0.52,1.0,0.5198565070085661
842.854,68.0,99.2028,1.0,0.53,1.0,0.5295954294824957
887.88202,72.5,99.18813,1.0,0.54,1.0,0.5393409951504657
917.99597,75.5,99.17251,1.0,0.55,1.0,0.5497176642529691
938.099,77.5,99.15885,1.0,0.56,1.0,0.5587922673221257
958.138,79.5,99.14303,1.0,0.57,1.0,0.5693018003055875
978.03699,81.5,99.12667,1.0,0.58,1.0,0.5801700657676161
988.06,82.5,99.11865,1.0,0.59,1.0,0.5854979073938713
1013.20898,85.0,99.10353,1.0,0.6,1.0,0.5955424167939882
1143.54602,98.0,99.0891,1.0,0.61,1.0,0.6051285458048195
1228.68103,106.5,99.07394,1.0,0.62,1.0,0.6151996279811356
1268.76294,110.5,99.05344,1.0,0.63,1.0,0.6288181757789156
1278.75305,111.5,99.0421,1.0,0.64,1.0,0.6363515578289987
1288.73096,112.5,99.02096,1.0,0.65,1.0,0.6503952700458342
1293.71106,113.0,99.00402,1.0,0.66,1.0,0.6616488407626383
1298.71106,113.5,98.98088,1.0,0.68,1.0,0.6770211917890103
1303.69995,114.0,98.95,1.0,0.7,1.0,0.6975353750082997
1308.69897,114.5,98.90876,1.0,0.72,1.0,0.7249319072610079
1313.672,115.0,98.84977,1.0,0.76,1.0,0.7641201089483752
1318.66296,115.5,98.78423,1.0,0.81,1.0,0.8076596027369972
1323.63,116.0,98.7061,1.0,0.86,1.0,0.8595628778316541
1328.60498,116.5,98.6189,1.0,0.92,1.0,0.9174915299275882
1329.95353,117.0,98.4947,2.0,1.0,1.0,1.0
