##Temp./°C,Time/min,Mass/%,Segment,Alpha,F_alpha,G_alpha
204.48801,5.0,99.94952,1.0,0.03,0.9747310670718006,0.025593674676314
250.996,8.5,99.92911,1.0,0.04,0.9645143689524476,0.0361305489220809
302.698,13.5,99.89997,1.0,0.05,0.949927667178918,0.0513694370979985
326.427,16.0,99.88974,1.0,0.06,0.9448068037903417,0.0567748128226894
374.07401,21.0,99.86917,1.0,0.07,0.9345100139659894,0.0677329362894775
418.03699,25.5,99.83971,1.0,0.08,0.919763128782454,0.0836391108045346
428.065,26.5,99.82993,1.0,0.09,0.914867523314197,0.0889760074518968
443.27301,28.0,99.80964,1.0,0.1,0.9047108939736004,0.1001398404913818
458.49701,29.5,99.78009,1.0,0.11,0.8899189572060013,0.1166248797212026
463.535,30.0,99.76733,1.0,0.12,0.8835316437320737,0.123828171528661
473.577,31.0,99.73746,1.0,0.13,0.8685795235544691,0.1408961332388774
478.56299,31.5,99.71971,1.0,0.14,0.8596943500307883,0.1511783598475425
483.53101,32.0,99.70044,1.0,0.15,0.8500483053095795,0.1624621013365495
488.47198,32.5,99.6793,1.0,0.16,0.8394661887861589,0.1749890786941303
493.423,33.0,99.65651,1.0,0.17,0.8280581265549039,0.1886719259075975
498.34201,33.5,99.63213,1.0,0.18,0.8158541530051926,0.20351967405513
503.26599,34.0,99.60639,1.0,0.2,0.8029693999629597,0.2194386729059795
508.20901,34.5,99.57944,1.0,0.21,0.7894789534016473,0.2363821037777502
513.14899,35.0,99.55187,1.0,0.22,0.7756781514834452,0.2540175980758169
518.10101,35.5,99.52357,1.0,0.24,0.7615119311611825,0.2724494387969994
523.08002,36.0,99.49484,1.0,0.25,0.7471304643817149,0.291515457985643
528.05902,36.5,99.46687,1.0,0.27,0.733129433201015,0.3104330126006733
533.07202,37.0,99.4398,1.0,0.28,0.7195789178609531,0.3290890743597264
538.09302,37.5,99.41417,1.0,0.29,0.7067492278659054,0.3470793749227866
543.14697,38.0,99.39029,1.0,0.31,0.6947955408943203,0.3641376624620333
548.18298,38.5,99.36834,1.0,0.32,0.6838079601143323,0.3800781608468384
553.26501,39.0,99.34882,1.0,0.33,0.6740367721040605,0.3944706115401705
563.40503,40.0,99.31568,1.0,0.34,0.6574477777054726,0.4193899436276004
568.46698,40.5,99.30153,1.0,0.35,0.6503646675443377,0.4302220464179713
573.50702,41.0,99.28892,1.0,0.36,0.6440524400438521,0.4399751275533932
583.58398,42.0,99.26759,1.0,0.37,0.6333752146207396,0.4566922763335614
593.586,43.0,99.24948,1.0,0.38,0.6243098347608035,0.4711085037775821
613.49701,45.0,99.2186,1.0,0.39,0.6088521356953682,0.496179839282348
623.41302,46.0,99.20385,1.0,0.4,0.6014686816404793,0.5083808120210644
633.33099,47.0,99.19006,1.0,0.41,0.5945657778155997,0.5199239250432095
648.20898,48.5,99.16913,1.0,0.42,0.5840887816549922,0.5377022843264573
663.12799,50.0,99.14779,1.0,0.43,0.5734065505003227,0.5561603016352278
683.27197,52.0,99.11809,1.0,0.44,0.5585395277592815,0.5824298881173549
688.28497,52.5,99.11057,1.0,0.45,0.554775217624177,0.5891922605655084
703.271,54.0,99.0879,1.0,0.46,0.5434272241716784,0.6098594835545935
723.13599,56.0,99.05867,1.0,0.47,0.5287954708140848,0.6371535555076552
733.04199,57.0,99.04408,1.0,0.48,0.5214921084641879,0.6510611370351191
742.95801,58.0,99.02994,1.0,0.49,0.5144140040346172,0.6647268824117647
757.87701,59.5,99.01026,1.0,0.5,0.5045627243193462,0.6840631172451188
782.776,62.0,98.97987,1.0,0.51,0.4893503061004872,0.7146766735858546
792.742,63.0,98.9685,1.0,0.52,0.4836587893137667,0.7263756016379724
817.70398,65.5,98.94328,1.0,0.53,0.4710343343127883,0.7528242909924258
832.76202,67.0,98.92959,1.0,0.54,0.4641814878035367,0.7674796657225937
857.82397,69.5,98.90946,1.0,0.55,0.4541049501679396,0.789426939885149
897.79401,73.5,98.88117,1.0,0.56,0.439943735577234,0.8211084339344719
912.89301,75.0,98.87082,1.0,0.57,0.4347628034099011,0.8329546761298624
953.03699,79.0,98.84212,1.0,0.58,0.4203963538251263,0.866557313125596
967.99597,80.5,98.83089,1.0,0.59,0.4147749172802836,0.880019273885482
1013.22101,85.0,98.8011,1.0,0.6,0.3998628429551857,0.9166336832873044
1048.33704,88.5,98.79132,1.0,0.61,0.3949672374869213,0.9289524605920672
1268.79602,110.5,98.7621,1.0,0.62,0.380340489860892,0.966688401503607
1283.78699,112.0,98.74905,1.0,0.63,0.3738080101716443,0.9840129551596568
1293.77295,113.0,98.73022,1.0,0.64,0.3643822176391975,1.0095519138013211
1303.75,114.0,98.69239,1.0,0.65,0.3454455351377336,1.0629202889022191
1308.73901,114.5,98.66212,1.0,0.67,0.3302931856976239,1.1077745774442147
1313.71997,115.0,98.62113,1.0,0.69,0.3097746920223617,1.1719100456779223
1318.70496,115.5,98.56584,1.0,0.72,0.2820980022125298,1.2655007428407028
1323.68396,116.0,98.49601,1.0,0.75,0.2471429787106219,1.3977882486530566
1328.66296,116.5,98.4136,1.0,0.79,0.2058907449029141,1.5804096154345415
1329.9353,117.0,98.28198,2.0,0.86,0.1400053060754577,1.9660749565520568
1321.64564,117.5,98.15861,2.0,0.92,0.0782495957871732,2.547851615234344
1305.62652,118.0,98.09026,2.0,0.96,0.0440354205565365,3.1227609562642105
1283.49913,118.5,98.05003,2.0,0.98,0.0238973624800419,3.733987182617998
1257.56786,119.0,98.02889,2.0,0.99,0.0133152459566213,4.318845587741047
1180.38935,120.5,98.01142,2.0,1.0,0.0045702329166891,5.388191108922007
