##Temp./°C,Time/min,Mass/%,Segment,Alpha,F_alpha,G_alpha
188.27299,2.0,99.9695,1.0,0.02,1.975012024280185,0.0124939878599075
206.91499,2.5,99.96511,1.0,0.03,1.971389319429739,0.0143053402851305
243.96001,3.5,99.95486,1.0,0.04,1.9629048102635924,0.0185475948682037
279.45901,4.5,99.94004,1.0,0.05,1.9505721973706367,0.0247139013146816
296.271,5.0,99.93195,1.0,0.06,1.94380700786186,0.0280964960690701
327.59201,6.0,99.91688,1.0,0.07,1.9311416641313053,0.0344291679343472
355.547,7.0,99.90577,1.0,0.08,1.9217509886535025,0.0391245056732488
380.19199,8.0,99.89518,1.0,0.09,1.9127569240141096,0.0436215379929451
412.39301,9.5,99.87726,1.0,0.1,1.897440399853119,0.0512798000734404
422.254,10.0,99.87018,1.0,0.11,1.8913548222162784,0.0543225888918607
441.28,11.0,99.85285,1.0,0.12,1.876375629089516,0.0618121854552419
450.64099,11.5,99.8417,1.0,0.13,1.866674575631494,0.066662712184253
459.92499,12.0,99.82805,1.0,0.14,1.8547293178500872,0.0726353410749564
469.237,12.5,99.811,1.0,0.15,1.839699741660473,0.0801501291697635
478.577,13.0,99.78987,1.0,0.17,1.8209015205072772,0.0895492397463613
487.98901,13.5,99.76429,1.0,0.19,1.7978813947665755,0.1010593026167122
497.45001,14.0,99.73352,1.0,0.22,1.7697939747442957,0.1151030126278522
506.96701,14.5,99.69768,1.0,0.25,1.7365059039067092,0.1317470480466454
516.53601,15.0,99.65719,1.0,0.28,1.6981140780323425,0.1509429609838288
526.14301,15.5,99.61257,1.0,0.32,1.6547749601362558,0.1726125199318721
535.78101,16.0,99.56559,1.0,0.35,1.6078816020522888,0.1960591989738556
545.466,16.5,99.5183,1.0,0.39,1.5592551957603575,0.2203724021198212
555.20203,17.0,99.47367,1.0,0.43,1.5119302053313304,0.2440348973343348
564.992,17.5,99.43413,1.0,0.46,1.468729185725559,0.2656354071372203
574.84601,18.0,99.40127,1.0,0.49,1.4318352726118306,0.2840823636940847
584.758,18.5,99.37569,1.0,0.51,1.4024433714619238,0.2987783142690381
594.70001,19.0,99.35589,1.0,0.52,1.3792628279547303,0.3103685860226348
604.65997,19.5,99.34114,1.0,0.54,1.3617380498246296,0.3191309750876852
614.61401,20.0,99.3298,1.0,0.55,1.3481098711559651,0.3259450644220174
634.42798,21.0,99.31338,1.0,0.56,1.3281288358248684,0.3359355820875658
654.09802,22.0,99.30187,1.0,0.57,1.3139415071482132,0.3430292464258934
673.87402,23.0,99.29248,1.0,0.58,1.3022528324210445,0.3488735837894777
713.72601,25.0,99.27453,1.0,0.59,1.279611566451021,0.3601942167744895
743.409,26.5,99.2612,1.0,0.6,1.2625350517155816,0.3687324741422092
763.11902,27.5,99.25263,1.0,0.61,1.2514333208447848,0.3742833395776076
782.85699,28.5,99.24437,1.0,0.62,1.2406391556240857,0.3796804221879571
812.51898,30.0,99.23232,1.0,0.63,1.2247216046143818,0.3876391976928091
852.23102,32.0,99.21832,1.0,0.64,1.2059643677062193,0.3970178161468903
902.15399,34.5,99.1999,1.0,0.65,1.1808313838440228,0.4095843080779886
912.15302,35.0,99.19501,1.0,0.66,1.1740689034483682,0.4129655482758159
942.284,36.5,99.17757,1.0,0.67,1.149626894963177,0.4251865525184115
952.354,37.0,99.17072,1.0,0.68,1.1398833349196948,0.4300583325401526
972.34198,38.0,99.15535,1.0,0.69,1.1177117108254913,0.4411441445872543
992.16901,39.0,99.13962,1.0,0.7,1.0945558595132108,0.4527220702433946
1002.13702,39.5,99.13219,1.0,0.71,1.083446213849545,0.4582768930752274
1022.20203,40.5,99.11959,1.0,0.72,1.0643411299653789,0.4678294350173105
1052.40796,42.0,99.10844,1.0,0.73,1.047143978067926,0.476428010966037
1182.77295,48.5,99.09655,1.0,0.74,1.0284887298659522,0.4857556350670239
1232.95801,51.0,99.08454,1.0,0.75,1.0092952131967396,0.4953523934016302
1263.01404,52.5,99.07179,1.0,0.76,0.988511342419396,0.5057443287903021
1282.95398,53.5,99.05482,1.0,0.77,0.9601507705681918,0.5199246147159041
1292.90698,54.0,99.03765,1.0,0.78,0.930576704231723,0.5347116478841385
1302.82605,54.5,99.00784,1.0,0.81,0.8768652004424511,0.5615673997787745
1312.69702,55.0,98.95168,1.0,0.85,0.7655061769198541,0.6172469115400729
1322.53101,55.5,98.87313,1.0,0.92,0.5746222030527667,0.7126888984736166
1331.61499,56.0,98.77174,2.0,1.0,0.0,1.0
