 ##Temp./°C,Time/min,Mass/%,Segment,Alpha,F_alpha,G_alpha,lnB
295.526,3.25,99.9248,1,0.05,10.74082447,0.002167029,3.4
455.53201,6.5,99.84051,1,0.1,5.064330052,0.009747562,3.4
496.95099,7.75,99.7587,1,0.15,3.347326979,0.022312269,3.4
518.60303,8.5,99.67761,1,0.2,2.505381681,0.039828341,3.4
539.242,9.25,99.58359,1,0.25,1.939698854,0.06644639,3.4
552.91699,9.75,99.51796,1,0.3,1.675607833,0.089042069,3.4
573.81702,10.5,99.43035,1,0.35,1.417905732,0.124349858,3.4
602.99298,11.5,99.35179,1,0.4,1.246062233,0.161012852,3.4
703.00702,14.75,99.27413,1,0.45,1.112747462,0.201904865,3.4
893.46198,21.25,99.19296,1,0.5,1.000830194,0.249585419,3.4
1042.36096,26.25,99.11082,1,0.55,0.908376257,0.302976163,3.4
1297.59998,34.75,99.02363,1,0.6,0.827258109,0.365306957,3.4
1312.41394,35.25,98.95841,1,0.65,0.775458674,0.415740843,3.4
1327.12305,35.75,98.8579,1,0.7,0.70721478,0.499847302,3.4
1333.45179,36,98.79554,2,0.75,0.670599273,0.555921989,3.4
1336.65409,36.25,98.71119,2,0.8,0.626709911,0.636512422,3.4
1336.71201,36.5,98.62716,2,0.85,0.588349698,0.722219048,3.4
1329.41716,37,98.50209,2,0.9,0.539224653,0.859806115,3.4
1322.59976,37.25,98.45815,2,0.95,0.523857703,0.910989433,3.4
1291.88149,38,98.38701,2,1,0.500753259,0.996993757,3.4
