##Temp./°C,Time/min,Mass/%,Segment,Alpha,F_alpha,G_alpha
226.481,6.5,99.92521,1.0,0.03,19.70718010429386,0.000643711158319
308.263,14.0,99.88212,1.0,0.04,12.503393281303072,0.0015991316735795
345.69601,18.0,99.86695,1.0,0.05,11.077790304397078,0.0020372002872367
408.90601,24.5,99.82544,1.0,0.06,8.44351512373971,0.0035066582075619
434.12701,27.0,99.79559,1.0,0.07,7.21050829215807,0.0048084847985771
449.07001,28.5,99.76903,1.0,0.08,6.381348227042496,0.0061392471835087
458.953,29.5,99.74522,1.0,0.09,5.784990972603892,0.0074702414223144
468.759,30.5,99.71507,1.0,0.1,5.172849471800042,0.0093428704555037
478.55301,31.5,99.67757,1.0,0.11,4.57122476196388,0.0119639573871104
483.439,32.0,99.65583,1.0,0.12,4.2824766830344805,0.0136316992103798
493.237,33.0,99.60673,1.0,0.13,3.74780685025554,0.0177985903427143
498.13901,33.5,99.579,1.0,0.14,3.5009501187647927,0.0203970876732087
503.06,34.0,99.54994,1.0,0.15,3.274896680442656,0.0233101357473067
508.008,34.5,99.51893,1.0,0.16,3.063795289666769,0.0266330264498101
512.95801,35.0,99.48671,1.0,0.17,2.8714761635722628,0.0303200265781158
517.92798,35.5,99.45353,1.0,0.19,2.697128845133314,0.0343666042043328
522.91699,36.0,99.41984,1.0,0.2,2.540506067291754,0.0387346410531703
527.93201,36.5,99.38693,1.0,0.21,2.4041300340907505,0.0432537833564662
532.96002,37.0,99.3546,1.0,0.22,2.283700030988552,0.0479360111939093
538.013,37.5,99.32347,1.0,0.23,2.178617356214804,0.0526717915337703
543.05701,38.0,99.29445,1.0,0.24,2.089008574870662,0.0572874595177522
548.13202,38.5,99.26736,1.0,0.25,2.011765669360113,0.0617710840907159
553.20398,39.0,99.2423,1.0,0.26,1.94522898244688,0.0660691235218333
563.35303,40.0,99.198,1.0,0.27,1.8377805486284144,0.0740206181400374
568.422,40.5,99.17831,1.0,0.28,1.7937421655368735,0.0776998131119912
578.49799,41.5,99.14344,1.0,0.29,1.7207200896609662,0.0844344250243264
583.50702,42.0,99.12755,1.0,0.3,1.6893804802567476,0.0875961593430465
593.48999,43.0,99.09755,1.0,0.31,1.633220677045817,0.0937238822025166
603.42603,44.0,99.06899,1.0,0.32,1.5831194079548012,0.0997499444515081
613.35901,45.0,99.04141,1.0,0.33,1.5375708071229608,0.1057474148494408
628.22699,46.5,98.99986,1.0,0.34,1.4736936828843938,0.115113316092437
638.15302,47.5,98.97191,1.0,0.35,1.43362935151591,0.1216371513473931
648.08899,48.5,98.94311,1.0,0.36,1.394563294193347,0.1285474744209362
658.01703,49.5,98.91403,1.0,0.37,1.3572198127020048,0.1357186799756022
668.06598,50.5,98.88429,1.0,0.38,1.321042206308083,0.1432539554257163
678.16101,51.5,98.85323,1.0,0.39,1.2852620839401063,0.1513410062246864
688.19299,52.5,98.82138,1.0,0.4,1.2505302811762964,0.1598643343540966
693.20099,53.0,98.80543,1.0,0.41,1.2338330947537623,0.1642204276039558
703.15802,54.0,98.7727,1.0,0.42,1.2009288682473729,0.1733426531064497
713.08197,55.0,98.73943,1.0,0.43,1.1692329660391718,0.1828680801492481
723.00299,56.0,98.70584,1.0,0.44,1.1388854546578435,0.1927435776338734
732.93298,57.0,98.67192,1.0,0.45,1.1097976025540637,0.2029796241885187
737.91199,57.5,98.65525,1.0,0.46,1.096040156162852,0.2081071860426389
747.84601,58.5,98.62211,1.0,0.47,1.0696790019522655,0.218490756060717
757.79498,59.5,98.58933,1.0,0.48,1.0448226729142922,0.2290102031516821
767.74402,60.5,98.55721,1.0,0.49,1.0215623895369377,0.2395577459561074
