##Temp./°C;Time/min;Mass/%;Segment
120.524;0.0;100.0;1
129.022;0.5;99.98645;1
137.681;1.0;99.97589;1
146.403;1.5;99.96781;1
155.10699;2.0;99.96158;1
163.771;2.5;99.95623;1
172.30701;3.0;99.9517;1
180.67599;3.5;99.9474;1
188.91;4.0;99.94332;1
196.935;4.5;99.93932;1
204.716;5.0;99.93562;1
212.235;5.5;99.93204;1
219.492;6.0;99.92868;1
226.481;6.5;99.92521;1
233.21201;7.0;99.92208;1
239.69099;7.5;99.91891;1
245.929;8.0;99.91563;1
251.942;8.5;99.91261;1
257.746;9.0;99.90943;1
263.35999;9.5;99.90616;1
268.79001;10.0;99.90329;1
274.069;10.5;99.90034;1
279.207;11.0;99.89744;1
284.24301;11.5;99.89465;1
289.16501;12.0;99.89204;1
294.017;12.5;99.88944;1
298.806;13.0;99.88687;1
303.55099;13.5;99.8845;1
308.263;14.0;99.88212;1
312.94199;14.5;99.88023;1
317.61401;15.0;99.87827;1
322.289;15.5;99.87631;1
326.94501;16.0;99.87442;1
331.62799;16.5;99.87261;1
336.284;17.0;99.8708;1
340.98999;17.5;99.86895;1
345.69601;18.0;99.86695;1
350.423;18.5;99.8648;1
355.15201;19.0;99.86273;1
359.89301;19.5;99.86042;1
364.66699;20.0;99.8579;1
369.46301;20.5;99.85521;1
374.27399;21.0;99.85223;1
379.12;21.5;99.84929;1
384.005;22.0;99.84589;1
388.923;22.5;99.84242;1
393.88199;23.0;99.83804;1
398.867;23.5;99.83431;1
403.888;24.0;99.83004;1
408.90601;24.5;99.82544;1
413.95499;25.0;99.8205;1
419.01401;25.5;99.81499;1
424.064;26.0;99.80902;1
429.10199;26.5;99.80276;1
434.12701;27.0;99.79559;1
439.13699;27.5;99.78779;1
444.103;28.0;99.77892;1
449.07001;28.5;99.76903;1
454.01999;29.0;99.75786;1
458.953;29.5;99.74522;1
463.862;30.0;99.73107;1
468.759;30.5;99.71507;1
473.66299;31.0;99.69711;1
478.55301;31.5;99.67757;1
483.439;32.0;99.65583;1
488.332;32.5;99.63239;1
493.237;33.0;99.60673;1
498.13901;33.5;99.579;1
503.06;34.0;99.54994;1
508.008;34.5;99.51893;1
512.95801;35.0;99.48671;1
517.92798;35.5;99.45353;1
522.91699;36.0;99.41984;1
527.93201;36.5;99.38693;1
532.96002;37.0;99.3546;1
538.013;37.5;99.32347;1
543.05701;38.0;99.29445;1
548.13202;38.5;99.26736;1
553.20398;39.0;99.2423;1
558.28497;39.5;99.21947;1
563.35303;40.0;99.198;1
568.422;40.5;99.17831;1
573.46899;41.0;99.16024;1
578.49799;41.5;99.14344;1
583.50702;42.0;99.12755;1
588.49402;42.5;99.11228;1
593.48999;43.0;99.09755;1
598.46997;43.5;99.0831;1
603.42603;44.0;99.06899;1
608.396;44.5;99.05507;1
613.35901;45.0;99.04141;1
618.31403;45.5;99.0276;1
623.26898;46.0;99.01371;1
628.22699;46.5;98.99986;1
633.18201;47.0;98.9859;1
638.15302;47.5;98.97191;1
643.12201;48.0;98.95756;1
648.08899;48.5;98.94311;1
653.05701;49.0;98.92878;1
658.01703;49.5;98.91403;1
663.04303;50.0;98.89919;1
668.06598;50.5;98.88429;1
673.12;51.0;98.86885;1
678.16101;51.5;98.85323;1
683.19598;52.0;98.83746;1
688.19299;52.5;98.82138;1
693.20099;53.0;98.80543;1
698.18103;53.5;98.78908;1
703.15802;54.0;98.7727;1
708.117;54.5;98.75626;1
713.08197;55.0;98.73943;1
718.03497;55.5;98.72249;1
723.00299;56.0;98.70584;1
727.96802;56.5;98.68879;1
732.93298;57.0;98.67192;1
