##Temp./°C;Time/min;Mass/%;Segment
118.166;0.0;100.0;1
134.229;0.5;99.97274;1
151.42799;1.0;99.9547;1
169.412;1.5;99.9432;1
187.968;2.0;99.9347;1
206.808;2.5;99.92683;1
225.61501;3.0;99.91928;1
244.186;3.5;99.91132;1
262.311;4.0;99.90295;1
279.87201;4.5;99.8937;1
296.681;5.0;99.88492;1
312.69;5.5;99.87647;1
327.84;6.0;99.86868;1
342.138;6.5;99.86244;1
355.58301;7.0;99.85689;1
368.203;7.5;99.85113;1
380.08899;8.0;99.84481;1
391.289;8.5;99.83831;1
401.94601;9.0;99.83064;1
412.16;9.5;99.82265;1
422.02499;10.0;99.81371;1
431.66;10.5;99.80363;1
441.12201;11.0;99.7918;1
450.49301;11.5;99.77743;1
459.82001;12.0;99.75948;1
469.14099;12.5;99.73772;1
478.50201;13.0;99.71087;1
487.90302;13.5;99.67884;1
497.38;14.0;99.6404;1
506.93701;14.5;99.596;1
516.54401;15.0;99.54797;1
526.23102;15.5;99.48966;1
535.97803;16.0;99.43583;1
545.79999;16.5;99.38404;1
555.67603;17.0;99.33507;1
565.60199;17.5;99.29614;1
575.57599;18.0;99.25921;1
585.57397;18.5;99.22747;1
595.55798;19.0;99.19996;1
605.505;19.5;99.17572;1
615.367;20.0;99.15364;1
625.17603;20.5;99.13299;1
634.90802;21.0;99.11255;1
644.61102;21.5;99.09268;1
654.31097;22.0;99.07259;1
664.09497;22.5;99.05159;1
673.99298;23.0;99.02971;1
683.909;23.5;99.00677;1
693.83698;24.0;98.98266;1
703.74799;24.5;98.95776;1
713.63098;25.0;98.93169;1
723.52301;25.5;98.90492;1
733.39301;26.0;98.87778;1
743.22302;26.5;98.84991;1
753.08197;27.0;98.822;1
762.909;27.5;98.79367;1
772.74799;28.0;98.76568;1
782.58698;28.5;98.73777;1
792.45697;29.0;98.70974;1
802.32098;29.5;98.68186;1
812.21503;30.0;98.65465;1
822.12402;30.5;98.62787;1
832.05603;31.0;98.60147;1
842.026;31.5;98.57622;1
852.03003;32.0;98.55067;1
862.05402;32.5;98.52524;1
872.06403;33.0;98.4997;1
882.04999;33.5;98.47362;1
892.00897;34.0;98.4475;1
901.96899;34.5;98.41971;1
911.97498;35.0;98.39034;1
922.00403;35.5;98.36026;1
932.03601;36.0;98.32732;1
942.09998;36.5;98.29276;1
952.14398;37.0;98.25559;1
962.14899;37.5;98.21572;1
972.14203;38.0;98.17409;1
982.12097;38.5;98.12908;1
992.125;39.0;98.08109;1
1002.15503;39.5;98.02881;1
1012.20599;40.0;97.97445;1
1022.258;40.5;97.91381;1
1032.31604;41.0;97.84811;1
1042.35498;41.5;97.7796;1
1052.39502;42.0;97.7097;1
1062.43298;42.5;97.63898;1
1072.46997;43.0;97.56879;1
1082.52405;43.5;97.49991;1
1092.56799;44.0;97.42902;1
1102.61804;44.5;97.35536;1
1112.66895;45.0;97.27779;1
1122.68201;45.5;97.19462;1
1132.72095;46.0;97.10517;1
1142.74304;46.5;97.01139;1
1152.77405;47.0;96.91485;1
1162.81299;47.5;96.82168;1
1172.88599;48.0;96.73741;1
1182.99902;48.5;96.67211;1
1193.104;49.0;96.62882;1
1203.18103;49.5;96.6032;1
1213.18103;50.0;96.59025;1
1223.12195;50.5;96.58308;1
1233.01794;51.0;96.57744;1
1242.94104;51.5;96.5732;1
1252.90698;52.0;96.56978;1
1262.90002;52.5;96.56614;1
1272.87903;53.0;96.55749;1
1282.828;53.5;96.53921;1
1292.73096;54.0;96.50611;1
1302.61694;54.5;96.44478;1
1312.51294;55.0;96.36055;1
1322.40698;55.5;96.24984;1
1331.49304;56.0;96.11856;2
