##Temp./°C;Time/min;Mass/%;Segment
118.782;0.0;100.0;1
129.61099;0.25;99.99258;1
141.129;0.5;99.98593;1
153.289;0.75;99.98035;1
166.007;1.0;99.97545;1
179.242;1.25;99.97093;1
192.946;1.5;99.96651;1
207.041;1.75;99.96176;1
221.457;2.0;99.95663;1
236.08299;2.25;99.95093;1
250.89101;2.5;99.94494;1
265.806;2.75;99.9386;1
280.711;3.0;99.93169;1
295.526;3.25;99.9248;1
310.22198;3.5;99.91794;1
324.71701;3.75;99.91129;1
338.905;4.0;99.90537;1
352.73001;4.25;99.90006;1
366.133;4.5;99.89501;1
379.08401;4.75;99.89017;1
391.534;5.0;99.88467;1
403.48001;5.25;99.87901;1
414.897;5.5;99.87305;1
425.811;5.75;99.86641;1
436.20999;6.0;99.85895;1
446.10101;6.25;99.85038;1
455.53201;6.5;99.84051;1
464.54901;6.75;99.82889;1
473.14999;7.0;99.81493;1
481.38901;7.25;99.79883;1
489.30801;7.5;99.7802;1
496.95099;7.75;99.7587;1
504.354;8.0;99.72951;1
511.552;8.25;99.70556;1
518.60303;8.5;99.67761;1
525.52899;8.75;99.64744;1
532.41498;9.0;99.61624;1
539.242;9.25;99.58359;1
546.04999;9.5;99.55066;1
552.91699;9.75;99.51796;1
559.81097;10.0;99.48571;1
566.76001;10.25;99.45584;1
573.81702;10.5;99.43035;1
580.95203;10.75;99.40402;1
588.20599;11.0;99.38426;1
595.56201;11.25;99.36657;1
602.99298;11.5;99.35179;1
610.53101;11.75;99.3396;1
618.13702;12.0;99.32953;1
625.77301;12.25;99.32101;1
633.47803;12.5;99.31366;1
641.17999;12.75;99.30743;1
648.89398;13.0;99.30208;1
656.60797;13.25;99.29736;1
664.32202;13.5;99.29303;1
672.11798;13.75;99.28895;1
679.88397;14.0;99.28495;1
687.646;14.25;99.28115;1
695.34998;14.5;99.27775;1
703.00702;14.75;99.27413;1
710.60199;15.0;99.27054;1
718.14001;15.25;99.26704;1
725.58698;15.5;99.26361;1
732.97998;15.75;99.26033;1
740.302;16.0;99.25705;1
747.57898;16.25;99.2535;1
754.82001;16.5;99.24999;1
762.01898;16.75;99.2466;1
769.203;17.0;99.24339;1
776.36798;17.25;99.24019;1
783.52197;17.5;99.2371;1
790.67499;17.75;99.234;1
797.85699;18.0;99.23075;1
805.047;18.25;99.22751;1
812.27698;18.5;99.22438;1
819.521;18.75;99.22125;1
826.80103;19.0;99.21805;1
834.12701;19.25;99.21496;1
841.487;19.5;99.21193;1
848.85303;19.75;99.20896;1
856.24298;20.0;99.2062;1
863.66803;20.25;99.20323;1
871.10101;20.5;99.2007;1
878.534;20.75;99.19836;1
885.98798;21.0;99.19569;1
893.46198;21.25;99.19296;1
900.93701;21.5;99.1904;1
908.41302;21.75;99.18727;1
915.90503;22.0;99.18407;1
923.39099;22.25;99.18075;1
930.88397;22.5;99.17694;1
938.39301;22.75;99.17309;1
945.88599;23.0;99.1689;1
953.396;23.25;99.16453;1
960.88;23.5;99.15978;1
968.32599;23.75;99.15476;1
975.74298;24.0;99.14982;1
983.11298;24.25;99.14473;1
990.474;24.5;99.1396;1
997.83099;24.75;99.13462;1
1005.203;25.0;99.12968;1
1012.59399;25.25;99.12508;1
1020.00201;25.5;99.12093;1
1027.448;25.75;99.11696;1
1034.89404;26.0;99.11361;1
1042.36096;26.25;99.11082;1
1049.84204;26.5;99.10882;1
1057.34302;26.75;99.1069;1
1064.86401;27.0;99.10539;1
1072.39905;27.25;99.10437;1
1079.93799;27.5;99.10366;1
1087.48401;27.75;99.10336;1
1095.01904;28.0;99.1029;1
1102.57898;28.25;99.10275;1
1110.13196;28.5;99.10264;1
1117.67603;28.75;99.10241;1
1125.18994;29.0;99.10238;1
1132.70105;29.25;99.10208;1
1140.20703;29.5;99.10158;1
1147.70898;29.75;99.10106;1
1155.18103;30.0;99.10027;1
1162.64905;30.25;99.09944;1
1170.12097;30.5;99.09853;1
1177.59399;30.75;99.09735;1
1185.05505;31.0;99.09611;1
1192.52295;31.25;99.0949;1
1199.99695;31.5;99.09336;1
1207.48206;31.75;99.09185;1
1214.97803;32.0;99.08989;1
1222.48401;32.25;99.08736;1
1229.98706;32.5;99.0854;1
1237.51697;32.75;99.08258;1
1245.047;33.0;99.07945;1
1252.57202;33.25;99.07612;1
1260.11206;33.5;99.07224;1
1267.62598;33.75;99.06749;1
1275.16101;34.0;99.06153;1
1282.646;34.25;99.05312;1
1290.13599;34.5;99.0409;1
1297.59998;34.75;99.02363;1
1305.01599;35.0;98.99319;1
1312.41394;35.25;98.95841;1
1319.77405;35.5;98.91372;1
1327.12305;35.75;98.8579;1
1333.45179;36.0;98.79554;2
1336.65409;36.25;98.71119;2
1336.71201;36.5;98.62716;2
1334.19361;36.75;98.55811;2
1329.41716;37.0;98.50209;2
1322.59976;37.25;98.45815;2
1313.94328;37.5;98.42661;2
1303.64125;37.75;98.40543;2
1291.88149;38.0;98.38701;2
1278.89047;38.25;98.37463;2
1264.99837;38.5;98.36649;2
1250.55786;38.75;98.36098;2
1235.90109;39.0;98.3579;2
1221.32495;39.25;98.35559;2
1207.07014;39.5;98.35432;2
1193.31694;39.75;98.35345;2
1180.15874;40.0;98.35323;2
1167.65638;40.25;98.35316;2
1155.82653;40.5;98.35304;2
1144.64258;40.75;98.35304;2
1134.03664;41.0;98.35312;2
1123.92808;41.25;98.35334;2
1114.24047;41.5;98.35357;2
1104.86792;41.75;98.35376;2
1095.71206;42.0;98.35406;2
1086.66476;42.25;98.3544;2
1077.64571;42.5;98.35474;2
1068.61801;42.75;98.35511;2
1059.4944;43.0;98.35553;2
1050.25023;43.25;98.35592;2
1040.84228;43.5;98.35621;2
1031.26709;43.75;98.35666;2
1021.53582;44.0;98.357;2
1011.65687;44.25;98.35734;2
1001.65457;44.5;98.35768;2
991.52926;44.75;98.35806;2
981.36537;45.0;98.35844;2
971.12497;45.25;98.35877;2
960.8441;45.5;98.35911;2
950.57918;45.75;98.35938;2
940.31205;46.0;98.35971;2
930.07258;46.25;98.35998;2
919.86092;46.5;98.36013;2
909.71851;46.75;98.36039;2
899.63623;47.0;98.36081;2
889.63171;47.25;98.361;2
879.70461;47.5;98.36118;2
869.83905;47.75;98.36141;2
860.06069;48.0;98.36172;2
850.32536;48.25;98.36185;2
840.66246;48.5;98.36214;2
831.04098;48.75;98.36236;2
821.47577;49.0;98.36274;2
811.9634;49.25;98.36312;2
802.48988;49.5;98.36357;2
793.05023;49.75;98.36395;2
783.64132;50.0;98.36436;2
774.25143;50.25;98.36479;2
764.85996;50.5;98.36527;2
755.48725;50.75;98.36564;2
746.42042;51.0;98.36613;2
737.17238;51.25;98.36655;2
727.94837;51.5;98.36704;2
718.8658;51.75;98.36741;2
709.88822;52.0;98.36791;2
701.04922;52.25;98.36828;2
692.34437;52.5;98.36878;2
683.80792;52.75;98.36926;2
675.40549;53.0;98.36971;2
667.16459;53.25;98.37013;2
659.04318;53.5;98.37062;2
651.06022;53.75;98.37103;2
643.19091;54.0;98.37145;2
635.45744;54.25;98.37194;2
627.81823;54.5;98.37247;2
620.29611;54.75;98.37296;2
612.84791;55.0;98.37345;2
605.51803;55.25;98.37412;2
598.27914;55.5;98.37473;2
591.145;55.75;98.37515;2
584.11501;56.0;98.37563;2
577.17777;56.25;98.37606;2
570.34344;56.5;98.37655;2
563.6042;56.75;98.37706;2
556.96387;57.0;98.3776;2
550.43551;57.25;98.37805;2
544.00604;57.5;98.3785;2
537.65744;57.75;98.3788;2
531.40154;58.0;98.37927;2
525.22541;58.25;98.37978;2
519.12919;58.5;98.38019;2
513.11084;58.75;98.38058;2
507.17062;59.0;98.38107;2
501.31025;59.25;98.38137;2
495.52436;59.5;98.38152;2
489.80301;59.75;98.3819;2
484.16097;60.0;98.38235;2
478.58559;60.25;98.38273;2
473.06391;60.5;98.38314;2
467.62426;60.75;98.38352;2
462.25476;61.0;98.3839;2
456.94234;61.25;98.3842;2
451.69478;61.5;98.38458;2
